Dist,schoolName,Q1,Q2,Q3,Q4,Q5A,Q6,Q7,Q8,Q9,Q10,Q11,totalCriteria,percCriteria,totalPop2011,adolescentPop,youthPopn,SCPropRURAL,SCPropURBAN,SCPropTOTAL,STPropRURAL,STPropURBAN,STPropTOTAL,GDDP_curr,NDDP_curr,GDDP_const,NDDP_const,pcNDDP,avg_MPCE_RURAL,foodShareExpenseRURAL,avg_MPCE_URBAN,foodShareExpenseURBAN,rationYBPL,rationYAAY,rationSAPL,rationAnna,rationWhite,totRC,avg_pccRURAL,iopRURAL,LzRatioRURAL,avg_pccURBAN,iopURBAN,LzRatioURBAN,TotRdLength,APPTWAMainW,APPTWAMarginalW,youthPopAsWorker,youthPopAsMWorker,HDI_2001,HDI_2011,HDIRS_2001,HDIRS_2011,IMR_2010,pcHealthExpenseRURAL,pcHealthExpenseRURALURBAN,popPerSubCentre,popPerPHC,popPerRH,popPerGovBed,sex_ratio_dist,POAGHF,POAPHF,POACBS,anyANC,fullNatalCare,pWomenHospDeliveries,homeDeliveries,homeDeliveries_assist,percSafeDeliveries,childSexRatio,avgHHperNH,avgHHperHH,litRateM,litRateF,litRateT,litRateSC,litRateSC.1,APL,youthPopLit,SHSAP,secondarySec,ROSWUPSTSS,numSchoolsTot,numGovSchools,numPrivASchools,numPrivNASchools,percHH_Has_TapWtr,percHH_Has_Toilet,unemploymentRT,percPassSSC,EngMedium,SchoolInfrastructure,numRoom,haveComputer,haveInternet,haveELearning,haveToilets,haveToiletsF,playground,sports,extraCurrLevel,localTrust,ruleFollow,remark,prcplGender,prcplAge,prcplMaritalStatus,prcplIfChild,prcplSpouseEdu,prcplSpouseWork,prcplSpouseOccu,prcplIncome,prcplEdu,prcplScheme,prcplSchemeName,prcplEduYear,prcplSchemeOther,prcplSchemeOtherName,prcplWorkYear,prcplWorkYearOther,prcplInternetSavy,prcplSmartPhone,prcplUsedTobacco,prcplUsingTobacco,prcplUsingQuan,prcplchoolAward,numGuestLec,tbccoUseProb,tbccoFreeGood,staffNotDemandTF,staffNotForceStopTbcco,isTrusteesActive,BlockStaffCom,BlockStaffHelpTF,staffReceivdTrainTF,schoolLeadsExCuPr,isChangeDifficult,isChangeEasy,teachDiscChallenges,canDiscChangeTeach,mstTeachNotInterest,mstTeachPrivateLessons,mstTeachGoodAcademics,mstTeachGoodExCurr,mstTeachSelfDevelopment,mstTeachParticipateExCurr,teachNeedReminders,mstParentsSchoolEvents,parentsTbccoBigThreat,mstParentsReqTF,teachNumTraining,teachAwardsGov,isPTA,parentEduLevl,percPassHSC,distPerfEdu,MEnroll1,MEnroll2,MEnroll3,FEnroll1,FEnroll2,FEnroll3,totEnroll1,totEnroll2,totEnroll3,POTOC,numMTeach,numFTeach,teachStudRat,MtoFTeachRat,numBlank ,tobaccoFree
Nanded,Z.P.P.School Panghri  Ta. Nanded ,1,0,0,0,0,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,4.0,2.0,2.0,2.0,1.0,1.0,2.0,Block Level,none,passive,passive,passive,1.0,43.0,3.0,1.0,HSC,2.0,,,BA,1.0,,3.0,2.0,,3.0,20.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P.P.School Tuppa Ta Nanded ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,15.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,42.0,3.0,1.0,SSC,2.0,,,BA,1.0,,4.0,2.0,,4.0,21.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P. School Hadgaobn Rod ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,2.0,2.0,2.0,2.0,1.0,1.0,2.0,Block Level,none,active,passive,passive,1.0,27.0,1.0,1.0,none,2.0,,,MA,1.0,,8.0,2.0,,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P.P.School Kayna  Bard Ta. Ardhapur ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Semi English,Pucca,15.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,passive,1.0,44.0,3.0,1.0,HSC,1.0,Teacher,,BA,1.0,,18.0,2.0,,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,22,0.0
Nanded,Z.P.P.School Shindhi Ta Umari ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,11.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,passive,passive,passive,1.0,45.0,3.0,1.0,SSC,2.0,,,MA,1.0,,27.0,2.0,,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P.P.School Dhonara Ta. Umari ,1,0,0,0,0,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,7.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,proactive,active,1.0,40.0,3.0,1.0,SSC,2.0,,,MA,1.0,,27.0,1.0,Warsha ropan programme,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,22,0.0
Nanded,Z.P.P.School karbthanda ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,2.0,2.0,2.0,2.0,1.0,1.0,2.0,Block Level,none,active,passive,passive,1.0,26.0,1.0,1.0,none,2.0,,,HSC,1.0,,5.0,2.0,,5.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P.P.School Devapur Ta. Mudkhed ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,6.0,2.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,1.0,39.0,3.0,1.0,BED,1.0,Teacher,45000.0,BA,1.0,,20.0,2.0,,8.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,21,0.0
Nanded,Z.P.P.School Dhongaon Ta Billoli ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,10.0,2.0,2.0,2.0,1.0,1.0,2.0,Block Level,none,active,passive,passive,1.0,51.0,3.0,1.0,BED,1.0,Teacher,,BA,1.0,,30.0,2.0,,4.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,22,0.0
Nanded,Z.P.P.School Cholakha (KHU),0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,5.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,1.0,40.0,3.0,1.0,SSC,2.0,,,MA,1.0,,18.0,2.0,,3.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,secondary,,,,,,,,,,,,,,,,,23,0.0
Nanded,Z.P.P.School Betak Billoli Ta Naygaon,0,0,0,0,1,0,0,0,0,0,0,1,9.1,3361.0,21.8,20.4,19.3,18.3,19.1,9.9,4.4,8.4,24551.0,22565.0,13140.0,11988.0,67654.0,502.1,53.3,571.6,50.2,142490.0,78173.0,400265.0,2025.0,9002.0,631955.0,502.1,35.2,31.5,571.6,75.4,36.0,10574.0,6.8,1.7,16.9,3.0,0.6,0.7,Low,Low,31.0,174.0,335.0,6956.0,40975.0,163898.0,1585.9,943.0,35.0,47.9,0.2,97.9,26.2,55.9,43.4,5.5,61.4,910.0,5.0,4.0,84.3,66.2,75.5,73.2,70.6,94.1,91.4,1798.0,634.0,2.8,664.0,85.0,467.0,112.0,47.0,,681889.0,81.1,Marathi,Pucca,6.0,1.0,2.0,2.0,1.0,1.0,2.0,Block Level,none,active,passive,passive,1.0,38.0,3.0,1.0,HSC,2.0,,,MA,1.0,,18.0,2.0,,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,23,0.0
Hingoli,Z.P.P.School Sandash ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1177.0,21.4,19.4,16.2,11.6,15.5,10.7,2.9,9.5,6555.0,6051.0,3463.0,3173.0,53780.0,613.9,45.9,657.2,48.2,60350.0,27309.0,157750.0,984.0,2455.0,248848.0,613.9,24.8,37.3,657.2,59.2,36.0,3432.0,7.5,1.4,17.3,2.5,0.6,0.6,Low,Low,16.0,136.0,37.0,7463.0,41048.0,197030.0,2927.0,942.0,27.1,41.1,2.2,93.2,21.9,41.5,57.7,5.8,47.3,882.0,5.1,4.4,86.9,69.0,78.2,75.5,72.2,96.0,94.1,669.0,179.0,3.7,191.0,39.0,104.0,48.0,35.9,,193420.0,83.4,Semi English,Pucca,11.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,active,1.0,43.0,3.0,1.0,SSC,2.0,House Wife,,MA,1.0,,26.0,2.0,,3.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,21,0.0
Gondia,Z.P.P.School Shabhutola Ta Aamgaon,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Semi English,katchha,6.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,1.0,47.0,3.0,2.0,SSC,2.0,,350000.0,MA,1.0,,24.0,1.0,Poshan Ahar,2.0,22.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,21,0.0
Gondia,Z.P.P.School Wadegaon Ta Aarjunimor,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Marathi and Semi English,Pucca,5.0,2.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,2.0,,2.0,,none,2.0,,,DED,1.0,,21.0,1.0,Swachata abhiyan,3.0,12.0,3.0,2.0,2.0,2.0,,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,24,0.0
Gondia,Z.P.P.School kKohalgaon ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Semi English,Pucca,6.0,2.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,1.0,56.0,3.0,3.0,Primary,2.0,,550000.0,SSC DED,1.0,,30.0,2.0,,10.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,22,0.0
Gondia,Z.P.P.School Dongargaon,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Marathi,Pucca,7.0,1.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,passive,proactive,passive,2.0,51.0,3.0,2.0,none,2.0,Businesss,350000.0,SSC DED,1.0,,28.0,1.0,Poshan Ahar,2.0,5.0,3.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,20,0.0
Gondia,Z.P.P.School Pauldoana ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Semi English,Pucca,7.0,2.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,2.0,51.0,3.0,2.0,none,2.0,,1.0,SSC DED,1.0,,26.0,1.0,"Gunvatta Vikas,Hand wash",10.0,5.0,3.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,21,0.0
Gondia,Z.P.P.School Murmadi ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Semi English,Pucca,5.0,2.0,2.0,2.0,2.0,2.0,1.0,Block Level,none,active,passive,passive,1.0,48.0,3.0,2.0,MA,1.0,Teacher,450000.0,MA,1.0,,18.0,2.0,,3.0,0.0,3.0,2.0,1.0,2.0,,2.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,4,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,secondary,,,,,,,,,,,,,,,,,21,0.0
Gondia,Z.P.P.School Navegaon ,0,0,0,0,1,0,0,0,0,0,0,1,9.1,1323.0,20.0,19.5,12.3,18.0,13.3,18.4,5.5,16.2,10200.0,9326.0,5810.0,5266.0,68665.0,484.0,53.4,1057.1,39.6,91878.0,75561.0,101855.0,1189.0,7612.0,278095.0,484.0,34.6,34.7,1057.1,20.7,36.6,5530.0,2.5,2.6,8.2,7.3,0.6,0.7,Medium,Medium,34.0,218.0,425.0,4967.0,30311.0,107468.0,1155.9,999.0,74.8,23.5,4.3,94.3,44.3,53.6,43.3,9.2,62.8,956.0,4.5,3.4,92.0,77.9,85.0,87.2,79.0,97.8,97.6,744.0,3.3,2.5,309.0,50.0,204.0,55.0,17.5,,257122.0,89.7,Marathi,Pucca,5.0,2.0,2.0,2.0,1.0,1.0,1.0,Block Level,none,active,passive,passive,1.0,35.0,3.0,1.0,SSC,1.0,Teacher,500000.0,MA,2.0,,8.0,2.0,,1.0,0.0,3.0,2.0,1.0,2.0,,2.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,primary,,,,,,,,,,,,,,,,,21,0.0
